Country,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%)
France,2024,Frozen Food,1314.06,1332.64,128.69,1082.83,40.81
China,2022,Fruits & Vegetables,43181.63,46396.12,55.05,998.51,51.84
South Korea,2023,Fruits & Vegetables,41482.57,46333.09,121.92,244.71,61.46
Spain,2018,Grains & Cereals,4642.49,5249.63,195.04,925.89,35.89
Argentina,2018,Grains & Cereals,49181.19,58225.68,87.31,222.31,31.87
Japan,2018,Bakery Items,7499.8,6557.21,147.24,601.02,69.67
Spain,2021,Prepared Food,33519.55,37140.03,78.84,577.28,40.99
China,2023,Prepared Food,10738.97,8613.14,162.96,987.99,68.57
Italy,2019,Grains & Cereals,15857.62,15350.46,113.55,454.66,34.95
USA,2023,Meat & Seafood,4220.33,4951.63,37.86,290.17,54.36
Australia,2021,Frozen Food,7127.97,6705.08,20.71,697.57,48.44
Germany,2020,Meat & Seafood,12106.78,13854.25,25.09,263.9,58.18
Indonesia,2020,Grains & Cereals,30761.09,24828.6,79.05,576.35,60.97
Germany,2024,Frozen Food,3513.33,4052.67,133.87,363.3,54.85
France,2022,Dairy Products,739.5,763.45,172.65,673.21,59.47
South Korea,2021,Frozen Food,40857.91,46463.12,44.34,602.65,61.24
Japan,2023,Grains & Cereals,5238.17,4223.73,58.54,99.46,44.58
UK,2022,Dairy Products,4585.3,5242.22,190.76,683.92,60.47
South Korea,2022,Frozen Food,40755.53,45348.62,123.59,271.65,56.39
Mexico,2019,Bakery Items,36423.94,,70.96,183.99,62.79
India,2024,Meat & Seafood,1018.55,1113.39,80.91,629.54,46.08
Germany,2019,Dairy Products,18154.9,16980.32,105.0,23.82,62.94
Turkey,2019,Frozen Food,21483.66,17967.18,177.66,1027.97,47.89
Spain,2023,Grains & Cereals,22081.35,21954.34,64.9,417.68,57.16
South Korea,2023,Prepared Food,14451.64,12964.99,197.13,1209.09,32.37
UK,2021,Frozen Food,43069.52,37488.26,29.25,1002.24,56.58
Germany,2018,Beverages,49821.95,47175.67,44.62,903.11,36.71
USA,2018,Dairy Products,1114.54,1314.03,109.34,68.91,51.64
Canada,2019,Beverages,40586.76,47867.15,179.54,795.6,53.2
China,2019,Dairy Products,24714.37,20754.62,173.49,1279.15,61.83
Turkey,2024,Beverages,4702.02,4546.38,199.36,373.62,60.38
South Africa,2019,Frozen Food,8209.84,7556.2,21.33,420.85,41.05
Japan,2024,Grains & Cereals,1899.36,2058.86,49.89,955.05,55.36
Australia,2022,Grains & Cereals,23374.75,20755.29,88.6,1282.72,68.07
Saudi Arabia,2024,Prepared Food,37050.71,38365.47,,116.66,67.64
Italy,2018,Prepared Food,44615.67,37861.26,100.18,1208.29,51.42
USA,2018,Fruits & Vegetables,1922.19,1992.64,148.91,,41.55
China,2023,Beverages,3712.38,3146.93,157.55,709.35,43.42
South Korea,2022,Frozen Food,34892.77,30087.1,163.47,167.87,56.14
Mexico,2018,Prepared Food,44042.55,47727.23,30.99,1251.2,58.46
Indonesia,2023,Grains & Cereals,33312.33,35144.44,96.49,1035.22,40.92
Mexico,2019,Dairy Products,30608.17,28246.27,64.27,1103.49,64.92
Argentina,2022,Prepared Food,49077.56,43299.18,157.78,751.16,58.34
Germany,2019,Frozen Food,25607.91,29545.06,198.37,1391.05,37.31
Germany,2019,Grains & Cereals,44186.66,44229.14,101.1,16.66,34.56
India,2021,Bakery Items,19627.11,17656.79,146.52,126.74,60.39
Turkey,2022,Grains & Cereals,34891.84,,,434.77,52.19
Mexico,2020,Frozen Food,45143.4,37351.73,86.96,1345.9,67.52
India,2024,Frozen Food,10539.7,9456.77,135.35,1013.08,59.43
Mexico,2024,Frozen Food,12488.76,13219.64,27.03,710.49,54.35
South Korea,2023,Bakery Items,17794.58,17921.04,20.63,904.78,61.89
France,2020,Beverages,12396.63,11857.8,135.95,820.55,30.09
Indonesia,2020,Beverages,21236.93,23525.6,124.11,666.37,63.05
Germany,2023,Frozen Food,35756.15,38283.13,30.97,230.68,35.53
Germany,2023,Beverages,39163.83,36725.5,96.93,1354.12,45.77
UK,2022,Grains & Cereals,46158.97,41857.98,86.73,661.77,68.1
Brazil,2019,Fruits & Vegetables,34348.18,34042.67,176.92,661.67,57.18
India,2018,Fruits & Vegetables,24208.08,21417.2,196.57,1029.54,66.89
France,2022,Prepared Food,40765.37,34446.24,169.23,907.62,40.11
Spain,2020,Meat & Seafood,37724.45,38936.2,174.15,1320.3,32.59
Saudi Arabia,2024,Fruits & Vegetables,33000.57,27199.3,47.58,967.79,63.97
Indonesia,2018,Prepared Food,40227.99,36890.75,55.64,16.18,62.41
Australia,2019,Bakery Items,47078.22,52025.3,176.51,,53.83
Australia,2023,Grains & Cereals,35501.37,36953.27,198.19,1305.18,37.67
Canada,2020,Dairy Products,47786.37,40743.03,72.82,510.3,49.68
Germany,2019,Fruits & Vegetables,11503.27,12818.4,116.23,987.97,35.29
Japan,2021,Prepared Food,9209.33,10673.4,130.27,493.96,59.59
Spain,2020,Prepared Food,17577.02,16452.17,99.44,1205.53,65.65
Brazil,2020,Frozen Food,13477.87,13426.9,62.12,1358.48,66.57
Germany,2023,Prepared Food,46296.01,45513.35,53.07,754.61,34.16
Australia,2019,Dairy Products,43769.49,41760.1,84.39,608.12,30.52
UK,2019,Grains & Cereals,35390.44,30453.31,25.72,1103.18,64.5
UK,2024,Bakery Items,6558.35,5615.49,57.99,1049.71,56.6
China,2018,Dairy Products,49651.71,45493.82,128.16,539.93,57.2
Indonesia,2024,Dairy Products,25986.24,26731.26,88.34,893.18,46.04
Indonesia,2024,Meat & Seafood,10487.16,10653.06,57.36,1054.81,43.74
Germany,2024,Beverages,23530.66,24956.85,35.86,1362.79,37.5
Brazil,2019,Prepared Food,35813.64,35555.01,112.34,973.72,54.68
India,2023,Grains & Cereals,33660.2,27989.89,71.87,391.26,63.09
India,2023,Grains & Cereals,2196.07,1810.24,25.67,169.53,35.0
UK,2024,Frozen Food,3044.54,3598.9,177.55,1285.61,40.26
Argentina,2023,Frozen Food,49279.74,49982.07,166.35,852.67,65.08
Spain,2021,Prepared Food,44857.26,,85.57,973.35,55.41
Saudi Arabia,2024,Grains & Cereals,45925.08,47953.86,99.48,1383.18,60.0
South Korea,2021,Beverages,40625.93,36992.57,39.86,883.42,52.06
Indonesia,2019,Meat & Seafood,36073.05,31463.71,169.16,1279.81,60.87
Japan,2022,Bakery Items,9672.11,11579.58,139.34,899.64,62.32
Saudi Arabia,2018,Dairy Products,536.73,640.0,92.23,771.38,55.03
USA,2023,Frozen Food,21314.1,23935.46,163.08,482.21,62.02
Saudi Arabia,2021,Dairy Products,27690.42,32462.18,94.21,1210.0,67.48
India,2018,Grains & Cereals,502.61,406.69,159.84,818.87,66.1
Indonesia,2021,Dairy Products,6642.26,6676.68,150.02,1122.96,51.28
USA,2024,Dairy Products,32272.29,26747.69,159.76,1197.26,44.98
China,2021,Prepared Food,10357.84,11322.82,72.71,1229.44,52.83
Spain,2019,Fruits & Vegetables,47590.1,51766.67,173.17,730.17,34.14
Argentina,2022,Meat & Seafood,14768.04,14570.61,90.3,181.41,49.34
Saudi Arabia,2019,Grains & Cereals,8686.64,9196.6,183.13,1377.33,44.71
Argentina,2023,Meat & Seafood,12996.1,10791.47,176.69,1219.29,32.0
Italy,2022,Beverages,12988.33,14462.26,179.56,722.51,34.58
Argentina,2020,Beverages,49889.66,44810.88,133.0,,69.54
Argentina,2019,Dairy Products,27903.12,30467.52,,1189.02,63.27
USA,2018,Frozen Food,46203.29,51020.59,64.26,1231.34,59.36
Germany,2023,Beverages,6355.69,6599.21,37.45,821.11,30.92
UK,2018,Grains & Cereals,9691.17,7984.54,35.88,292.95,36.77
Italy,2024,Prepared Food,8760.69,8508.18,58.15,1316.45,60.8
Germany,2023,Beverages,2267.39,2004.48,184.53,417.62,58.03
Argentina,2023,Fruits & Vegetables,33831.35,30292.0,171.24,793.74,62.6
USA,2020,Dairy Products,47081.61,45557.24,136.57,288.76,38.58
Argentina,2024,Fruits & Vegetables,11161.41,12094.6,72.15,1366.98,56.03
Argentina,2020,Beverages,10282.78,11947.45,95.65,1368.88,30.42
Argentina,2023,Beverages,41797.93,40312.72,74.46,448.26,57.45
Russia,2023,Fruits & Vegetables,1221.62,984.57,96.88,547.78,36.53
South Korea,2018,Grains & Cereals,35789.49,40299.58,119.33,257.85,44.35
Saudi Arabia,2019,Prepared Food,15340.42,13304.64,126.03,,62.32
China,2018,Prepared Food,29265.36,31030.53,142.23,1076.57,65.56
Mexico,2024,Prepared Food,17666.7,18290.14,179.48,609.34,42.01
Argentina,2024,Dairy Products,16859.4,15936.64,136.15,748.17,52.32
Australia,2023,Prepared Food,15560.43,17229.01,33.94,135.85,61.85
Indonesia,2020,Fruits & Vegetables,20714.29,18866.53,33.3,1197.61,58.27
Mexico,2022,Dairy Products,43147.54,35382.31,43.19,843.07,44.77
Spain,2018,Bakery Items,29372.42,32419.01,153.35,512.18,53.01
China,2021,Beverages,20312.93,18227.93,100.56,1357.45,38.11
Russia,2021,Bakery Items,20784.19,19901.18,83.5,1211.05,66.9
Brazil,2019,Grains & Cereals,6050.53,5040.95,124.6,1083.62,60.17
France,2023,Grains & Cereals,17060.48,15970.34,182.68,97.29,69.69
France,2019,Beverages,25686.02,20759.04,183.3,397.36,65.96
France,2024,Grains & Cereals,4646.46,5532.06,31.12,350.61,54.91
South Africa,2022,Meat & Seafood,18732.3,16899.36,134.05,705.09,56.43
South Africa,2021,Beverages,49192.28,59029.87,28.54,1290.93,41.14
Argentina,2021,Grains & Cereals,9253.38,8607.67,48.57,569.01,59.89
USA,2022,Bakery Items,32457.98,27905.84,46.77,865.6,46.46
China,2020,Bakery Items,30582.77,29572.31,185.0,605.16,34.83
UK,2022,Beverages,3352.93,3963.47,74.94,452.83,43.26
Canada,2020,Beverages,14149.17,13279.14,39.32,775.43,44.02
India,2021,Fruits & Vegetables,34844.76,28235.33,190.53,1239.91,51.37
Japan,2023,Beverages,36013.66,34055.43,28.84,1218.87,45.61
Russia,2021,Meat & Seafood,12756.11,13401.74,161.64,156.89,45.29
Argentina,2024,Frozen Food,22381.44,23224.97,115.02,871.36,52.48
Italy,2023,Prepared Food,15981.86,19043.85,191.24,1338.38,42.45
France,2018,Prepared Food,23315.36,25409.49,151.47,1158.29,42.5
Turkey,2018,Prepared Food,14551.06,12081.08,107.7,738.52,67.48
China,2024,Beverages,43886.44,39205.98,51.59,1135.3,31.61
South Korea,2022,Grains & Cereals,37365.34,43081.43,150.77,237.06,40.41
South Africa,2020,Bakery Items,23360.75,22195.26,180.18,362.85,40.46
Japan,2019,Beverages,9878.15,8967.73,50.87,1258.36,41.87
South Korea,2022,Prepared Food,779.44,887.93,75.86,527.12,69.74
Australia,2024,Dairy Products,7143.71,7952.53,27.61,88.75,54.41
Japan,2019,Dairy Products,32886.27,38702.18,199.4,866.88,39.9
Italy,2021,Fruits & Vegetables,34048.36,32944.38,124.93,652.76,54.31
Japan,2020,Frozen Food,3590.1,3913.05,105.44,591.58,30.7
Australia,2022,Beverages,38371.75,37851.62,67.0,1198.0,53.97
UK,2022,Prepared Food,4738.62,5043.42,99.09,629.72,38.12
South Africa,2021,Bakery Items,31434.87,37218.26,83.98,883.02,50.73
South Korea,2021,Bakery Items,36475.35,36156.44,169.79,185.45,68.82
Germany,2021,Bakery Items,29314.52,29395.98,171.18,924.72,40.24
Japan,2018,Beverages,2785.42,3045.34,93.69,782.44,49.0
South Africa,2022,Fruits & Vegetables,21318.41,25152.62,179.31,1114.25,30.27
Japan,2024,Meat & Seafood,37391.39,39782.84,133.13,732.21,42.74
Argentina,2020,Grains & Cereals,3823.19,3899.25,75.29,477.68,40.53
South Africa,2019,Meat & Seafood,8507.36,8265.53,,1268.68,46.15
Spain,2023,Fruits & Vegetables,29527.31,32708.12,177.67,871.21,57.64
Spain,2020,Fruits & Vegetables,1089.46,1083.93,78.59,412.57,46.61
Canada,2020,Beverages,32673.37,35211.93,85.08,855.55,40.27
Saudi Arabia,2020,Fruits & Vegetables,26368.68,23936.55,155.26,28.75,40.87
Canada,2019,Beverages,5947.99,5770.54,123.6,360.17,30.83
South Africa,2019,Prepared Food,9255.12,9241.79,24.29,297.28,41.37
Spain,2020,Frozen Food,11323.81,12671.84,188.97,1119.12,67.87
Canada,2023,Grains & Cereals,24204.54,20642.66,23.09,990.67,50.77
Canada,2022,Prepared Food,16761.78,15154.43,124.14,580.61,52.78
Spain,2023,Frozen Food,24170.61,24194.62,35.97,487.76,53.64
Mexico,2023,Dairy Products,47563.03,44152.92,50.81,1104.15,61.07
Spain,2024,Grains & Cereals,39590.67,40289.66,91.65,211.41,51.45
Indonesia,2023,Prepared Food,39980.4,37618.45,32.34,27.08,56.38
Mexico,2020,Meat & Seafood,39391.77,46155.48,117.33,1364.5,34.17
Turkey,2023,Fruits & Vegetables,23351.45,19223.95,94.34,771.32,46.08
Germany,2023,Meat & Seafood,5914.08,5072.79,113.07,899.36,33.87
Japan,2020,Prepared Food,34893.02,29030.35,86.77,1185.57,57.21
Turkey,2022,Prepared Food,32959.47,39527.46,148.19,876.25,39.45
Argentina,2024,Fruits & Vegetables,34377.5,29795.03,119.44,790.96,30.6
France,2018,Frozen Food,34613.71,33294.82,129.23,1187.66,31.54
France,2023,Meat & Seafood,25448.39,22962.63,182.05,1084.4,45.56
Mexico,2021,Dairy Products,4823.97,4800.67,93.91,,41.68
Italy,2019,Dairy Products,28818.65,26518.28,185.1,890.73,32.16
Indonesia,2021,Beverages,46712.35,52263.46,63.88,371.69,40.69
Turkey,2024,Prepared Food,48558.23,52809.09,139.97,486.72,46.24
Spain,2024,Meat & Seafood,18123.51,20935.21,44.6,556.72,30.86
Spain,2019,Dairy Products,21239.11,19429.83,91.54,531.67,66.48
South Africa,2019,Beverages,28539.63,27498.23,113.87,572.35,58.52
Germany,2019,Beverages,39853.72,45320.14,148.62,1192.75,66.0
Brazil,2023,Meat & Seafood,38139.33,41925.0,58.97,1053.52,59.51
Spain,2023,Bakery Items,26866.42,29648.63,171.62,1242.59,65.29
Indonesia,2022,Frozen Food,20372.16,21673.06,141.76,758.88,56.79
Mexico,2021,Prepared Food,24849.69,27043.72,132.5,882.12,31.9
Brazil,2021,Dairy Products,37567.63,,79.91,221.84,52.09
UK,2024,Beverages,42759.18,42036.89,117.14,483.78,48.8
India,2020,Meat & Seafood,7665.95,8212.39,82.39,400.12,41.45
Indonesia,2020,Prepared Food,38591.62,31119.05,134.81,256.76,58.55
Russia,2020,Bakery Items,41810.85,39389.6,89.44,150.69,39.83
Canada,2024,Dairy Products,18679.54,17280.66,33.13,864.28,64.96
Turkey,2022,Frozen Food,49364.51,49360.9,128.31,114.22,57.73
Brazil,2020,Frozen Food,24163.81,21675.81,,708.31,31.34
Germany,2021,Dairy Products,2575.08,2948.07,144.92,761.84,51.87
Russia,2022,Prepared Food,12914.29,11233.79,190.73,1101.96,68.18
Japan,2023,Fruits & Vegetables,23699.63,24189.61,70.28,1303.1,49.77
Canada,2020,Dairy Products,46989.77,38729.32,167.7,827.41,43.31
Argentina,2022,Bakery Items,17868.63,20588.93,82.52,897.76,54.59
UK,2023,Bakery Items,7147.31,5759.76,194.18,879.39,63.85
Brazil,2023,Prepared Food,49231.61,45743.9,43.04,971.47,39.59
China,2020,Bakery Items,27757.71,22778.29,193.39,373.58,32.19
USA,2021,Prepared Food,20962.66,17783.72,108.66,,36.81
USA,2018,Meat & Seafood,6739.26,6362.37,38.08,362.85,46.55
South Korea,2021,Beverages,39582.23,38818.84,171.17,442.23,51.67
Argentina,2020,Meat & Seafood,36348.88,36244.23,132.11,818.44,35.86
France,2024,Fruits & Vegetables,31099.34,29441.29,79.2,984.27,44.93
UK,2020,Dairy Products,15700.61,18354.83,145.93,1318.08,53.6
Spain,2019,Meat & Seafood,27755.59,30296.11,77.78,942.96,54.99
Mexico,2021,Beverages,1504.09,1538.77,141.39,286.04,36.2
Italy,2018,Fruits & Vegetables,6845.55,6342.0,140.04,1351.41,58.73
Brazil,2019,Prepared Food,46077.87,40197.25,103.27,635.96,66.73
Indonesia,2020,Grains & Cereals,20249.23,18434.6,105.22,329.35,41.09
UK,2021,Dairy Products,38783.98,31056.35,22.59,577.65,32.95
Indonesia,2023,Beverages,32931.8,37000.2,24.98,358.18,44.08
South Africa,2018,Bakery Items,46279.34,49889.95,59.23,26.96,45.35
Australia,2022,Beverages,43272.07,44745.57,127.93,1079.86,34.64
Germany,2023,Frozen Food,11184.15,12986.34,180.49,1154.18,65.9
Germany,2023,Prepared Food,41325.75,46510.43,137.48,1331.94,53.83
Japan,2019,Grains & Cereals,23249.73,20742.89,165.17,234.1,48.61
Russia,2022,Prepared Food,24389.2,22916.51,42.54,727.53,69.98
Argentina,2018,Meat & Seafood,26569.77,27208.17,102.15,291.69,30.84
Mexico,2019,Dairy Products,9265.19,7958.54,141.83,419.36,47.35
Germany,2023,Beverages,29574.47,34769.68,136.65,495.08,51.01
Brazil,2024,Dairy Products,11294.47,12771.33,96.39,1131.71,68.15
South Africa,2023,Fruits & Vegetables,23761.59,22926.52,90.49,726.35,44.46
Spain,2022,Fruits & Vegetables,43162.29,46159.5,119.68,650.34,66.47
South Africa,2021,Grains & Cereals,8379.7,8101.9,158.53,1318.22,40.38
South Africa,2023,Grains & Cereals,18519.25,19892.46,69.69,800.92,56.28
Turkey,2018,Dairy Products,44408.2,42230.09,181.63,1087.96,64.07
China,2021,Grains & Cereals,27103.78,29818.56,34.95,724.83,40.83
Mexico,2021,Prepared Food,43058.71,51219.63,31.1,961.1,43.04
Australia,2023,Grains & Cereals,1434.79,1521.97,98.79,1150.57,61.54
USA,2019,Fruits & Vegetables,31286.33,30230.48,176.42,745.68,36.95
Spain,2018,Dairy Products,36202.22,39794.18,26.47,79.08,37.37
Indonesia,2023,Prepared Food,13408.63,13556.12,127.34,556.13,59.11
Saudi Arabia,2019,Grains & Cereals,41000.87,47408.27,61.27,792.47,35.96
Brazil,2023,Frozen Food,49354.39,40732.13,145.56,,31.45
Indonesia,2022,Beverages,9380.46,10402.32,132.16,891.06,47.86
South Africa,2022,Frozen Food,27412.14,24285.52,29.08,1032.17,37.87
Germany,2021,Meat & Seafood,6340.93,6789.48,42.8,1120.36,37.17
Japan,2019,Frozen Food,22476.79,23403.28,,582.77,66.61
Argentina,2018,Prepared Food,1658.5,1792.44,38.86,561.39,49.43
South Korea,2020,Bakery Items,8003.98,6499.63,75.42,48.0,57.46
India,2019,Fruits & Vegetables,20333.88,19202.66,29.37,694.96,67.92
Brazil,2021,Bakery Items,19203.37,19148.46,174.87,1258.25,34.3
Russia,2021,Frozen Food,39673.8,40251.01,79.33,796.52,52.15
Canada,2018,Beverages,44473.73,44465.52,159.89,679.96,64.57
Brazil,2019,Dairy Products,30097.01,27556.1,83.75,951.46,61.41
Russia,2020,Beverages,29908.73,26294.26,110.77,185.42,65.7
Germany,2018,Beverages,39520.89,33047.05,172.6,678.77,32.64
Germany,2018,Beverages,49821.95,47175.67,44.62,903.11,36.71
Germany,2019,Fruits & Vegetables,3536.85,3057.2,48.25,113.82,66.44
India,2018,Fruits & Vegetables,6328.46,6402.8,77.93,643.42,68.82
Mexico,2023,Frozen Food,32919.76,39313.15,124.41,379.92,51.61
Mexico,2020,Frozen Food,39254.69,46983.85,115.33,488.38,42.94
Brazil,2023,Prepared Food,18777.45,20043.85,126.6,744.7,41.41
Spain,2020,Grains & Cereals,31991.72,31110.65,89.08,304.88,59.68
Spain,2018,Meat & Seafood,17134.55,19550.91,185.98,588.94,37.38
UK,2021,Frozen Food,17123.97,18075.66,26.65,892.99,69.75
Brazil,2020,Bakery Items,34788.43,36710.86,175.07,1259.71,58.47
South Korea,2020,Dairy Products,8609.98,7648.11,94.45,578.26,59.43
China,2020,Prepared Food,24702.5,24507.47,29.51,509.75,35.44
Canada,2018,Fruits & Vegetables,31680.84,33876.11,104.42,1016.87,33.0
China,2019,Fruits & Vegetables,3823.85,4044.24,86.78,1173.69,43.82
Russia,2023,Fruits & Vegetables,28458.05,,111.9,1023.31,43.09
Indonesia,2021,Meat & Seafood,17465.46,14797.67,86.39,1206.28,49.51
USA,2023,Beverages,4411.22,4831.53,94.76,1142.37,39.86
UK,2021,Prepared Food,34322.22,39582.09,64.75,1254.55,51.42
India,2024,Frozen Food,15502.28,13784.37,131.25,1331.08,58.81
Spain,2018,Meat & Seafood,25093.21,21035.93,114.61,605.37,30.55
Argentina,2021,Bakery Items,48059.11,40071.6,80.36,50.5,69.66
USA,2024,Beverages,28584.45,28500.76,171.68,1002.04,43.86
USA,2024,Meat & Seafood,19152.45,15679.6,136.23,179.83,47.56
Turkey,2024,Prepared Food,25805.54,20723.45,116.33,230.13,42.7
India,2019,Meat & Seafood,12301.35,12598.08,,1068.31,41.15
Spain,2020,Dairy Products,17786.74,19470.9,128.44,957.51,45.88
Argentina,2019,Fruits & Vegetables,28520.18,33025.24,42.42,224.65,62.83
UK,2018,Prepared Food,3847.14,4473.37,54.85,1332.5,36.38
Japan,2021,Frozen Food,4236.48,4331.67,21.07,94.67,66.54
Saudi Arabia,2024,Meat & Seafood,1431.67,1583.08,164.46,715.16,46.57
Italy,2020,Grains & Cereals,21911.61,21742.45,31.31,637.73,49.59
Japan,2024,Frozen Food,43702.75,47876.05,130.6,569.47,44.84
Australia,2020,Prepared Food,2655.52,2170.41,22.1,963.92,45.81
France,2023,Dairy Products,40463.95,38574.46,197.39,725.6,58.54
South Korea,2018,Grains & Cereals,4047.71,4620.16,139.88,131.85,34.64
China,2020,Grains & Cereals,4100.72,3967.38,161.82,735.45,50.56
Canada,2024,Dairy Products,28578.74,30720.54,21.53,1288.55,43.81
France,2023,Frozen Food,42441.31,45200.44,77.05,201.51,53.12
Brazil,2021,Prepared Food,22052.67,20047.21,36.17,817.37,56.85
Brazil,2019,Fruits & Vegetables,31515.32,37428.53,179.92,1274.45,36.63
Spain,2022,Bakery Items,26722.17,27929.17,129.95,1242.06,37.52
Russia,2022,Meat & Seafood,42794.25,44156.2,48.79,844.28,56.12
Canada,2021,Fruits & Vegetables,33384.17,30304.24,58.8,1246.14,37.41
Italy,2023,Fruits & Vegetables,26493.15,24338.43,68.05,893.81,69.94
Germany,2023,Beverages,35643.89,41185.44,65.93,1062.33,32.18
India,2020,Grains & Cereals,38788.16,38233.95,171.57,933.35,63.84
Japan,2019,Grains & Cereals,31542.14,37329.92,86.58,1216.97,55.37
South Africa,2019,Frozen Food,40328.0,37664.72,44.22,223.33,62.32
China,2022,Meat & Seafood,7481.55,7570.6,100.16,148.58,61.13
Germany,2021,Beverages,22302.05,23266.42,142.66,1106.58,34.5
UK,2019,Frozen Food,46493.84,53600.3,176.13,1399.97,47.36
India,2020,Grains & Cereals,29742.34,32808.63,128.84,456.26,65.8
Turkey,2022,Grains & Cereals,29640.04,24538.41,52.38,1038.17,44.37
Japan,2018,Beverages,10770.99,11922.17,,204.07,43.42
UK,2021,Fruits & Vegetables,14631.16,17408.17,62.08,1307.64,59.13
South Africa,2020,Frozen Food,9384.38,11112.64,47.73,1318.98,54.46
France,2020,Bakery Items,16853.16,17040.69,32.64,284.86,68.65
South Korea,2024,Fruits & Vegetables,29881.69,29847.43,169.12,359.36,48.5
Germany,2019,Grains & Cereals,31122.24,29274.75,53.28,1090.38,50.42
South Korea,2023,Frozen Food,15533.74,16349.63,127.92,892.76,42.66
Indonesia,2021,Dairy Products,46625.67,48880.59,121.33,914.66,64.54
Russia,2021,Dairy Products,48267.58,51264.82,36.41,330.84,57.51
Germany,2023,Dairy Products,34265.32,31824.29,36.36,85.99,57.52
Indonesia,2023,Meat & Seafood,47916.19,56688.98,173.25,499.28,60.44
UK,2020,Beverages,47383.13,46675.03,87.78,292.83,69.49
Germany,2020,Grains & Cereals,6459.79,6193.0,124.61,339.03,43.72
Canada,2020,Bakery Items,27926.81,23557.01,178.45,430.03,45.98
Spain,2019,Meat & Seafood,3622.54,3115.14,34.51,1062.83,63.54
USA,2019,Bakery Items,5611.35,5955.37,83.59,599.73,60.87
South Africa,2018,Grains & Cereals,11229.86,9641.07,175.21,831.35,31.32
Spain,2018,Prepared Food,999999.0,11413.42,31.78,174.12,40.12
Brazil,2018,Frozen Food,11715.38,,176.68,220.04,49.92
Turkey,2022,Fruits & Vegetables,39587.56,38946.61,184.85,1328.83,57.33
Canada,2021,Dairy Products,44529.34,44569.81,39.0,888.96,68.16
Saudi Arabia,2018,Grains & Cereals,41688.48,39891.05,116.11,516.22,62.66
Argentina,2020,Bakery Items,43351.26,50858.44,182.61,51.35,55.2
Brazil,2023,Bakery Items,6367.24,5602.06,136.13,857.6,58.67
Brazil,2023,Dairy Products,41514.19,37913.97,,1182.06,63.16
Mexico,2022,Fruits & Vegetables,42384.09,36474.21,67.16,943.85,54.9
Canada,2022,Fruits & Vegetables,26416.84,28843.62,54.22,1122.68,30.98
Australia,2019,Fruits & Vegetables,22811.63,21689.89,115.44,1383.96,30.72
Mexico,2021,Fruits & Vegetables,28916.69,32196.55,134.55,950.8,31.46
Italy,2023,Beverages,44859.73,53743.68,126.17,611.76,34.67
USA,2018,Frozen Food,5427.23,4559.83,,191.13,59.13
Indonesia,2018,Bakery Items,26762.3,31233.33,118.97,849.75,58.74
Russia,2020,Dairy Products,20868.28,22147.11,176.22,932.41,53.02
South Korea,2018,Beverages,30244.66,35752.15,93.55,797.24,31.95
Japan,2021,Meat & Seafood,9405.13,,112.99,610.12,32.98
South Africa,2021,Grains & Cereals,39808.6,42700.81,71.68,1161.99,55.79
USA,2019,Bakery Items,8193.05,8727.09,,348.55,65.09
France,2021,Grains & Cereals,33531.23,26864.95,132.44,542.48,43.5
UK,2023,Meat & Seafood,30022.09,24487.08,92.64,1278.03,54.63
Mexico,2023,Meat & Seafood,5096.32,6100.3,102.1,789.88,67.45
Spain,2022,Dairy Products,25959.21,25386.49,92.56,304.05,47.21
Germany,2021,Grains & Cereals,32994.23,29316.65,55.85,1237.84,48.08
Canada,2020,Grains & Cereals,36223.4,41779.8,162.61,949.76,57.12
India,2020,Dairy Products,11867.51,12060.95,199.04,224.88,69.0
South Korea,2019,Bakery Items,12616.35,12982.56,139.89,1218.15,46.52
Australia,2023,Fruits & Vegetables,32008.19,37944.81,96.91,293.21,40.81
Saudi Arabia,2020,Frozen Food,30645.38,,197.42,1100.45,61.06
Brazil,2022,Frozen Food,4987.56,4933.79,144.57,459.48,57.33
Saudi Arabia,2024,Dairy Products,10346.33,8873.46,178.04,174.47,46.91
Argentina,2024,Dairy Products,24562.19,22556.23,163.15,799.37,33.17
Italy,2019,Prepared Food,39733.3,45838.23,100.5,900.96,49.16
South Korea,2023,Bakery Items,36457.7,35507.75,156.06,822.5,42.21
Russia,2018,Bakery Items,15651.93,14003.78,,863.8,54.83
Argentina,2020,Bakery Items,49310.46,49520.57,21.69,983.97,55.47
Spain,2021,Bakery Items,38807.86,33303.36,120.93,295.34,37.23
Australia,2023,Fruits & Vegetables,45663.39,52305.81,26.76,521.62,59.78
Indonesia,2023,Beverages,23321.82,26952.6,133.44,735.15,40.47
Argentina,2019,Beverages,9291.4,7800.49,158.26,201.86,60.01
South Korea,2018,Bakery Items,29213.9,30961.95,118.87,26.11,32.13
India,2018,Grains & Cereals,39229.59,43918.48,108.31,308.28,66.85
Indonesia,2020,Frozen Food,21546.05,17858.81,111.91,742.85,65.52
Australia,2024,Bakery Items,15025.78,15189.24,133.36,598.0,38.1
South Korea,2018,Fruits & Vegetables,43517.47,39926.28,175.83,701.28,32.49
USA,2021,Grains & Cereals,2047.11,2369.73,72.27,35.05,62.62
USA,2024,Frozen Food,7125.82,6079.02,165.78,684.89,32.08
